Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Abiel Peak,Tinkham Peak,Annette Lake,A,1500,200,4,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,These walk up peaks are located just south of Snoqualmie Pass.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Abiel Peak,Tinkham Peak,PCT Route,A,1500,200,4,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,These walk up peaks are located just south of Snoqualmie Pass.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Acker Rock,,Peregrine Travers,D,800,253,5,1,summerautumn,,5,,,FALSE,Rock,"Acker Rock is a ridge-like formation that towers 3000 feet above the South Umpqua and Buckeye Creek valleys in Oregon's southern Cascades. Acker's summit is home to the historic Acker Rock Lookout, and is available for rent from June 23rd through October according to G. Orton's guidebook. The Peregrine Travers is Oregon's longest rock route, comprised of 10 pitches, 5.7 with substantial exposure.",Peregrine Traverse in Weekend Rock Oregon by Ron Horton http://www.summitpost.org/peregrine-traverse/162438,Tiller Range District - 541-825-3100
Aiguille de I'Index,,Southeast Arete,D,640,,,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"The Aiguille de l'Index is a fine rock summit in the Aiguilles Rouges. While there are many routes on this peak by far the most popular, and also one of the best, is the Southeast Arete. What makes this route so good is its position and views. Facing south, the whole of the Mont Blanc chain rests just over your shoulder, and on belays, it is all too easy to get ""lost"" in the maze of spires and glaciers. But the route on the Index is also on a sharp ridge, and the exposure and ""airyness"" of the climb also draw our attention. Finally the summit is a very well-defined point and the very steep rappel descent only emphasizes this. This route is of moderate difficulty, with rock climbing to about 5.7 (French 5a) at its hardest. The crux comes early, on the first pitch, but there are a few moves sprinkled here and there for fun. The climb is about 6 or 7 pitches in length, which makes it a good choice for a relatively relaxed day on the hill. Because the descent is via rappel on the north side of the peak, we need to carry our hiking shoes and extra clothing over the top in small day packs.","Mont Blanc Massif; 100 Finest Routes by Gaston Rebuffat Mont Blanc Massif: Climbs, Volume II",tel:+33(0)4 50 53 22 75
Aiguille du Midi,,Arete des Cosmiques,D,984,,,1,springsummer,TRUE,5,35to50,TRUE,TRUE,rockandsnow,"Cosmiques Ridge commences from the Abri Simond hut from where it climbs 150m to 3770m. Despite the short distance, the route usually takes about half a day. Initially the climbing is up an easy snow slope and then mixed ground. As you approach the first gendarme of the subsidiary summit (3731m), climb the inclined slabs (4b). Follow the crest of the ridge to the second subsidiary summit. Make a descending traverse (exposed, possible abseil) across two steps. Follow the steps to the end where it passes between two rock walls. Abseil 30m in two pitches via the bolted belays. Continue traversing along terraces to go round the first big tower. Climb an awkward chimney (4a) to reach a good ledge on the right. Climb back onto the ridge via a snow slope that overlooks the Cosmiques Couloir. Go right round a second tower. Alternatively skirt the second tower to the left, going through a small notch and descending a small ice couloir. Follow the ridge to the foot of the crux slab. The crux slab is only 5m and has an in-situ sling and pegs in the diagonal crack running up it but is rated 4c. Above the slab, traverse right along the narrow ledge. Climb a few metres to a terrace on the left and move onto the NW face. Gain a couloir-chimney, then climb clacks (2 pitches 3c/4a). Go up onto the final snowy shoulder and climb the metal ladder to the terrace on the South pinnacle",,+33(0)4 50 53 22 75
Aneroid Mountain,,Standard Route,A,5338,340,6,2,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Aneroid Mountain is the easternmost peak of the high Wallowas. Nearby Aneroid Lake is a popular destination for day hikers and backpackers, and Aneroid Mountain has an easy approach from the lakes area. The climb itself is a rocky scramble. The views down to Bonny Lakes and to the southeast make a striking reward. Information from ",75 Scrambles in Oregon by Barbara Bond,"Contacts: Wallowa-Whitman National Forest, Eagle Cap Ranger District, Wallowa Mountains Visitor Center"
Athabasca,,North Glacier,B,4700,900,15,1,springsummer,TRUE,3,upto35,FALSE,TRUE,Snow,"Moderate glacier climb of one of the Canadian Rockies major peaks, in Jasper National Park. Standard North Glacier route, is a classic, if non-technical line consisting mainly of steep glacier travel in various conditions, depending on how late in the season it is being used. It is not unusual to see other parties on the route, or even at the summit, at the same time.",,"Jasper National Park. Park Warden Office (780) 852-6155 / 56 Maligne Rd. Jasper, AB."
Aurora Peak,Tokaloo Rock,St. Andrew's Lake,A,5200,150,3,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Located on the west side of Mt. Rainier National Park, Aurora Peak and Tokaloo Rock are two prominent satellite peaks located at the base of the Puyallup Cleaver above St. Andrew's Lake.  Spectacular scenery well away from the crowds elsewhere in the park.",Cascade Alpine Guide: Columbia River to Stevens PassÌÄåÎÌÄå__ by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Austera Peak,,Inspiration-McAllister-Klawatti Ice Cap,C,6234,310,7,2,summerautumn,TRUE,4,upto35,FALSE,TRUE,Snow,"Most of the elevation is gained upon reaching the base of Eldorado Peak which is the starting point for this high glacial traverse. Traversing eastward past an array of crevasses, moats, and rock spires, the route crosses a series of glaciers that form this small ice cap. The place is remote, really the middle of nowhere. Numerous summits and geographic features await exploration along the way to the Austera Towers, of which Austera Peak is the highest and most accessible. This climb is more of a glacier excursion than a traditional ascent, but it is a grand journey across expansive sheets of ice that for the Inspiration, Klawatti, and McAllister Glaciers and is an experience that is unique in the Cascades.","Climbs in the Cascades, Volume I Nelson & Potterfield",Marblemount NPS Ranger Station 360-873-4590 
Bacon Peak,,Southwest Route,B,3000,290,5.5,2,summerautumn,TRUE,4,35to50,FALSE,FALSE,rockandsnow,"Bacon Peak occupies a western salient of North Cascades National Park, located southeast of Baker Lake and due south of Mt. Shuksan. Its massive summit holds 1 1/4 square miles of glaciers. It has a curious rock divider splitting the summit plateau and a huge wind-formed cirque in the summit firn. There's lots to explore once the summit is reached!",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"Mt. Baker-Snoqualmie National Forest 425/775-9702North Cascades Natl Park Service Complex Headquarters & Mount Baker R.D. 810 State Route 20, Sedro Wooley, WA 98284 360/856-5700North Cascades Natl Park Complex Wilderness Info Center, 7280 Ranger Station Road, Marblemount, WA 98267 360/873-4500"
Bailey Range (Olympics),,Traverse,B,17000,325,6,2,summerautumn,FALSE,4,upto35,FALSE,FALSE,Scramble,"The Bailey Range traverse is a high and remote cross-country trek of unique and matchless beautyÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´ÌâåÂit is truly one of the finest high traverses in Washington. At almost all points, the succession of views far down to the forests of the Hoh Valley is echoed by the profile of snowcapped Mount Olympus.   Plan for an extendeed trip (7+days) with modest technical requirements.",Climbers Guide to the Olympic Mountains;75 Scrambles in Washington by Peggy Goldman,Olympic National Park Hoh ranger station 206-374-6925
Banshee Peak,,Panhandle Gap,A,3600,180,4,1,summerautumn,TRUE,3,,FALSE,FALSE,Rock,"Banshee Peak is unmarked on most maps but is a prominent satellite peak located just east of Mt. Rainier and Little Tahoma.  Banshee lies roughly east along the crest from the Panhandle Gap and is the high point before reaching the Cowlitz Chimneys to the east.  Banshee's southern and western slopes are relatively open and gentle, but its north side drops away steeply to the top of the Sarvant Glacier.  This area makes a great trip in the late season for the fall colors. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred BeckeyClimbing Washingtons Mountains by Jeff Smoot,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334Mt. Rainer NP (after hours) Lewis County S&R: 360-740-1105"
Barrier Peak,,Governor's Ridge,B,3800,160,3.5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Barrier Peak, along with Governors Ridge and Tamanos Mountain, is one of the high peaks which rings the valley containing Owyhigh Lakes. It lies within Mount Rainier National Park and is connected via a long ridge with Governors Ridge. As such, an ascent of Barrier Peak is often combined with one of Governors Ridge as well. Barrier Peak provides great views of the nearby peaks such as Tamanos, Governors Ridge, the Cowlitz Chimneys, Banshee Peak, and, of course, Mount Rainier. The Goat Rocks Wilderness, Mount Adams, and Mount Saint Helens are easily viewable from the summit as well. ",,"Mount Rainier National Park 55210 238th Avenue East Ashford, WA 98304 360-569-2211"
Bighorn Peak,,South Face,B,3400,160,3.5,2,summerautumn,FALSE,4,upto35,TRUE,FALSE,Rock,"Big Horn is the largest of the ""horn"" rock formations leading W from Mount Curtis Gilbert.  This area is in the Goat Rocks area in southern WA, between Mts. Adams and Rainier.  Other peaks on that ridge line are Little Horn, Black Thumb and Goat Citadel.  The climb itself involves ascending a chimney system on the South face (many ledges, class 3).  The final summit pitch according to Becky is a ""difficult"" 10-ft. vertical crack.  This area is in the Goat Rocks Wilderness Area, and it's called that for a reason.  Might want to bring binoculars for mountain goat watching.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Gifford Pinchot NF HQ 360-891-5000, USFS Packwood Office 360-497-1100"
Black Peak,,NE Ridge Route,D,4200,330,7,2,springsummer,TRUE,4,35to50,FALSE,FALSE,Rock,"This is a prominent peak very close to Rainy Pass in the North Cascades.  Beckey calls the NE route ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢more technical route than the normal way, but not forbidding; the ridge is exposed class 3 and 4 with one class 5 pitch.""",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,
Black Peak,,South Route,B,4200,330,7,2,springsummer,TRUE,3,35to50,FALSE,FALSE,Snow,This is a prominent peak very close to Rainy Pass in the North Cascades.  Beckey calls the South route ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢a satisfying ascent of no technical difficulty to a fine vantage height.ÌÄåÎÌÄå__ ,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,none
Bonanza Peak,,Mary Green Glacier ,D,6300,340,8,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,rockandsnow,"Beckey writes:  ""It's sheer size and height [and] treacherous  couloirs and snow conditions make it an ascent of character.""  Wow!  Sign me up!  A long drive and the Lake Chelan ferry make the approach logistics as fun as the climb.  This is one of the highest non-volcanic peaks in the North Cascades.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Borah Peak,,Chicken Out Ridge (SW Ridge),B,5212,673,12,1,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"This route begins at an elevation of ÌÄåÎÌâå«ÌÄå´Ìâå±7,200 feet. The steep but well maintained trail leaves the trailhead parking/turn-around area and ascends the sagebrush & grass slopes to the ridge.",,"Lost River Ranger DistrictP.O. Box 507716 W CusterMackay, Idaho 83251(208) 588-3400"
Boulder Ridge,,Marmot Pass,B,4500,200,5,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Boulder Ridge is the first ""big bump"" on the ridge extending south and east of Marmot Pass, which is at the head of the Quilcene River valley in Olympic National Forest.  This is a seldom climbed peak.",Climbers Guide to the Olympic Mountains (3rd edition) ,Olympic National Forest Headquarters 360-956-2402
Boundary Peak,,Trail Canyon,B,,,,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,"Boundary is the highest peak in Nevada. It's close to Mono Lake, Bishop, and the eastern entrance to Yosemite.",unknown,none
Broken Top,,Park Meadow/NW Ridge,B,2800,170,3.5,2,summerautumn,TRUE,5,,TRUE,FALSE,Rock,Broken Top is a heavily eroded volcano with spectacular views of the Three Sisters. The ascent from the Park Meadow side will take you cross country for a good portion of your climb but will meet up with the standard NW Ridge climbing route. This is a less traveled route with a slightly shorter drive from Portland. You'll get beautiful views of the lesser seen north side of the mountain. Some snow climbing may be encountered depending on the time you climb. Probably slope degree would be about 35 degrees.,Oregon High by Jeff Thomas,"USFS, Bend/Fort Rock District Office: 541-383-4000"
Broken Top,,Green Lakes - NW Ridge,B,3700,190,4,2,summerautumn,TRUE,4,,FALSE,FALSE,Scramble,Broken Top is a heavily eroded volcano with spectacular views of the Three Sisters.  It's a fairly easy ascent - a bit of easy snow and one very short section (10 feet) of 5.1 rock climbing. ,Oregon High by Jeff Thomas,"USFS, Bend/Fort Rock District Office: 541-383-4000"
Broken Top,,11 O'Clock Couloir,C,3700,190,3.5,2,springsummer,TRUE,4,over50,FALSE,FALSE,Snow,This is a good early season steep snow and ice climbing outing to an accessible area.  There can be a short vertical bit to overcome a cornice near the top.  Solid snow and ice climbing skills are required for this route.,Oregon High by Jeff Thomas,"USFS, Bend/Fort Rock District Office: 541-383-4000"
Brown Peak - Slide Mountain,,Palisade Lake Trail,A,4100,220,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Brown Peak and Slide Mountain are Scramble peaks located on the NE side of Mt. Rainier. From the White River entrance, drive about 13 miles to Sunrise Point (6100') and park. Take the Palisades Lake Trail approximately 3.3 miles to its end and follow the bovious boot path to the summit of Brown Peak. Continue north on the ridge to the summit of Slive Mountain. A strong party might also be able to scramble Marcus Peak and the Palisades. ",Guide to 100 Peaks at Mt. Rainier,
